,0
0,157216
1,314119
2,284959
3,300956
4,309765
5,310214
6,313308
7,330039
8,302068
9,165345
10,269928
11,310136
12,162461
13,161930
14,319399
15,328555
16,289165
17,319424
18,161092
19,316487
20,322087
21,299534
22,297626
23,298029
24,160515
25,321232
26,287923
27,160900
28,289087
29,308938
30,162652
31,315256
32,314513
33,324735
34,324979
35,159746
36,171174
37,323538
38,314905
39,329357
40,324330
41,163005
42,162463
43,152244
44,161796
45,162041
46,168427
47,289786
48,299903
49,165365
50,174311
51,326828
52,329751
53,161920
54,330779
55,188519
56,309959
57,328031
58,309465
59,283298
60,326882
61,318277
62,315503
63,311206
64,291942
65,315330
66,300608
67,328822
68,290704
69,328978
70,160677
71,308380
72,163520
73,170221
74,300974
75,326759
76,157501
77,317447
78,307665
79,320731
80,164965
81,282922
82,163201
83,317820
84,330049
85,308165
86,304571
87,166274
88,170169
89,289964
90,328576
91,160112
92,166302
93,289991
94,171083
95,125053
96,159568
97,175414
98,293867
99,312765
100,315894
101,317681
102,289442
103,173927
104,174123
105,331599
106,162015
107,301889
108,162830
109,160993
110,323052
111,308878
112,161513
113,287752
114,157289
115,317100
116,160633
117,319574
118,327755
119,283436
120,171870
121,323231
122,321920
123,161676
124,298267
125,332205
126,288681
127,316609
128,325472
129,313723
130,157246
131,164104
132,226602
133,319009
134,161620
135,324994
136,310303
137,174076
138,166680
139,243789
140,162788
141,162113
142,326115
143,299870
144,306949
145,290337
146,271036
147,322751
148,313542
149,307630
150,318832
151,291388
152,318337
153,326456
154,164063
155,312616
156,163260
157,315071
158,162345
159,298933
160,177528
161,317184
162,327954
163,313952
164,282368
165,328919
166,310726
167,327298
168,163667
169,317404
170,315099
171,326349
172,286664
173,328368
174,161827
175,314354
176,324017
177,282513
178,319450
179,322847
180,306900
181,309510
182,162154
183,323298
184,117815
185,329868
186,325776
187,283132
188,165827
189,284381
190,297656
191,326314
192,308933
193,173088
194,323771
195,313693
196,157922
197,163090
198,329933
199,293249
200,289569
201,294882
202,162989
203,161847
204,301966
205,299567
206,308475
207,163881
208,299843
209,309384
210,327556
211,329232
212,329815
213,161447
214,172833
215,323953
216,313330
217,308978
218,317080
219,312046
220,324939
221,166493
222,324710
223,162513
224,300911
225,327638
226,163181
227,317910
228,284664
229,306018
230,161685
231,281571
232,327071
233,163586
234,296897
235,162116
236,330705
237,286267
238,162760
239,327719
240,297739
241,318767
242,308415
243,328384
244,331743
245,163334
246,162533
247,284798
248,163364
249,171814
250,316164
251,309488
252,167937
253,300404
254,319569
255,323481
256,298710
257,159838
258,325870
259,174132
260,321956
261,138648
262,329964
263,328661
264,305456
265,329408
266,321150
267,294007
268,289341
269,299690
270,312847
271,160994
272,167850
273,326636
274,330253
275,327955
276,295647
277,314073
278,296502
279,327782
280,317436
281,170971
282,319057
283,163866
284,323607
285,322243
286,175090
287,308981
288,319138
289,283875
290,312931
291,172817
292,306736
293,329198
294,282494
295,307143
296,285951
297,298455
298,322180
299,285491
300,315272
301,327952
302,312023
303,331676
304,163395
305,288228
306,326031
307,292364
308,301716
309,312506
310,162089
311,307383
312,312011
313,161103
314,324180
315,310675
316,321928
317,299325
318,324793
319,161890
320,311866
321,147740
322,297085
323,172471
324,158075
325,161912
326,289173
327,311659
328,282191
329,160989
330,175227
331,170704
332,331797
333,288264
334,158461
335,294326
336,288186
337,318906
338,284800
339,306610
340,288752
341,318627
342,325478
343,301473
344,298873
345,163354
346,324683
347,175221
348,284169
349,293295
350,300468
351,318923
352,295204
353,163176
354,163492
355,301196
356,317079
357,163541
358,308516
359,316886
360,282493
361,297509
362,164246
363,167803
364,326598
365,286156
366,315283
367,300127
368,308051
369,283782
370,162052
371,139113
372,170056
373,328741
374,304394
375,305335
376,175074
377,163281
378,289041
379,319285
380,326505
381,320814
382,329738
383,161708
384,166518
385,327736
386,138096
387,138127
388,296997
389,328651
390,161172
391,219517
392,160888
393,163056
394,329118
395,306197
396,295530
397,331557
398,300907
399,323827
400,329163
401,305778
402,155462
403,162935
404,285450
405,281872
406,167624
407,161911
408,315605
409,162910
410,329712
411,327181
412,325420
413,315214
414,325380
415,282081
416,322996
417,300838
418,321185
419,313697
420,292514
421,311770
422,319583
423,294719
424,311024
425,153674
426,161885
427,319073
428,289448
429,307020
430,331170
431,173654
432,305978
433,329084
434,140986
435,163087
436,321649
437,165773
438,282411
439,162376
440,315668
441,167950
442,324444
443,328405
444,308490
445,162119
446,301096
447,322511
448,309929
449,304741
450,328374
451,310806
452,287492
453,166573
454,173793
455,319605
456,312396
457,162122
458,311187
459,162511
460,298424
461,331628
462,311837
463,330077
464,305085
465,321781
466,163649
467,269899
468,161747
469,282917
470,159168
471,314984
472,137537
473,319512
474,298430
475,283621
476,289876
477,161052
478,321188
479,291230
480,327106
481,326487
482,282525
483,311027
484,315295
485,281114
486,281220
487,163119
488,291128
489,301859
490,310931
491,328500
492,162019
493,316630
494,286141
495,173189
496,301280
497,322383
498,164313
499,325177
500,290647
501,332228
502,309328
503,317142
504,161838
505,316569
506,167059
507,300051
508,317116
509,320686
510,326765
511,323728
512,168504
513,160885
514,300952
515,310909
516,309843
517,318272
518,161739
519,175413
520,311786
521,323774
522,163660
523,314494
524,174033
525,325307
526,315808
527,163477
528,319739
529,161248
530,326471
531,161817
532,330003
533,310599
534,161136
535,287636
536,300995
537,162050
538,160264
539,310491
540,317467
541,174084
542,287662
543,329991
544,301351
545,327957
546,298486
547,300450
548,328881
549,163377
550,308886
551,313241
552,330392
553,283001
554,305848
555,328366
556,164338
557,310575
558,323080
559,301994
560,161857
561,296794
562,172028
563,163688
564,321050
565,306957
566,331202
567,291857
568,161371
569,330736
570,163513
571,314734
572,316482
573,323733
574,173816
575,323189
576,323900
577,161592
578,164152
579,300688
580,301033
581,170952
582,321970
583,292536
584,313288
585,162959
586,329709
587,329421
588,329744
589,289885
590,297392
591,292273
592,292555
593,329560
594,172667
595,321068
596,162659
597,307841
598,170477
599,298224
600,294792
601,284492
602,282101
603,281565
604,318372
605,161813
606,324162
607,300580
608,162124
609,170947
610,323105
611,316330
612,163142
613,290649
614,315206
615,326574
616,327647
617,282722
618,326650
619,287804
620,308128
621,162301
622,160881
623,162253
624,168123
625,165691
626,173004
627,298903
628,322004
629,311859
630,331197
631,315640
632,294383
633,329892
634,286525
635,306495
636,313278
637,326790
638,325402
639,317384
640,323089
641,319245
642,322239
643,326502
644,309472
645,281120
646,300655
647,163102
648,288536
649,172635
650,160391
651,282546
652,316850
653,326000
654,161485
655,288042
656,328245
657,164128
658,307488
659,287890
660,168499
661,285984
662,162566
663,315839
664,173662
665,287640
666,304493
667,326444
668,162937
669,332474
670,160573
671,284364
672,331670
673,300668
674,317056
675,330557
676,163375
677,320685
678,290380
679,329312
680,331815
681,282352
682,175510
683,283090
684,315508
685,161213
686,327080
687,311832
688,167928
689,283977
690,306277
691,330301
692,281523
693,313429
694,173743
695,318340
696,163710
697,283265
698,323970
699,327160
700,329316
701,306955
702,310564
703,163175
704,309566
705,136937
706,168169
707,327037
708,329740
709,320810
710,318250
711,329370
712,325205
713,330536
714,314339
715,297826
716,277074
717,159970
718,191513
719,287541
720,325699
721,281171
722,296621
723,281047
724,326205
725,160069
726,226516
727,297544
728,326533
729,325186
730,325520
731,165503
732,331645
733,168962
734,172145
735,144453
736,322702
737,166751
738,161031
739,311115
740,283883
741,321729
742,331373
743,285774
744,138552
745,287858
746,169160
747,327941
748,316494
749,159488
750,313751
751,322338
752,326746
753,166060
754,323886
755,162978
756,307463
757,312609
758,306138
759,288073
760,293352
761,314518
762,308389
763,321815
764,330591
765,310083
766,172713
767,300157
768,171092
769,162914
770,321192
771,298750
772,331574
773,162263
774,330277
775,316853
776,286277
777,316373
778,316797
779,311728
780,308361
781,330407
782,319023
783,175363
784,315981
785,315878
786,307981
787,160118
788,162141
789,285906
790,290566
791,285618
792,322333
793,164231
794,282210
795,282157
796,313990
797,331761
798,163335
799,317220
800,291547
801,331555
802,327911
803,288423
804,326987
805,319734
806,217512
807,288136
808,285726
809,186512
810,288628
811,169534
812,286361
813,309103
814,172104
815,175069
816,304948
817,327695
818,165430
819,313971
820,328403
821,297551
822,314347
823,328210
824,172645
825,322446
826,312735
827,306950
828,307367
829,317752
830,173422
831,327143
832,329251
833,289026
834,321202
835,322098
836,325912
837,331965
838,172512
839,282000
840,314186
841,307843
842,159877
843,331506
844,306103
845,287867
846,162285
847,329977
848,307080
849,314169
850,326783
851,282790
852,305863
853,311820
854,310109
855,162406
856,306916
857,321155
858,325814
859,302017
860,329610
861,305415
862,291118
863,163299
864,130152
865,317255
866,323933
867,162290
868,323329
869,312613
870,160496
871,313054
872,283529
873,281765
874,323680
875,283371
876,286047
877,160328
878,291512
879,309667
880,159774
881,315764
882,331485
883,174282
884,305897
885,161737
886,161805
887,295197
888,149744
889,160550
890,162127
891,284542
892,289446
893,297342
894,329531
895,129769
896,323522
897,326613
898,170595
899,314285
900,298264
901,190513
902,163191
903,162093
904,173702
905,166897
906,331251
907,298534
908,163018
909,165475
910,307073
911,162925
912,307535
913,172397
914,146896
915,163068
916,330281
917,328218
918,324408
919,331097
920,304552
921,331766
922,163233
923,174219
924,321060
925,316685
926,328223
927,331849
928,315124
929,324856
930,297191
931,310686
932,304564
933,331679
934,300001
935,162943
936,309705
937,319181
938,165312
939,309268
940,287764
941,288032
942,171606
943,160070
944,305065
945,167870
946,318831
947,162286
948,162312
949,285540
950,321758
951,308019
952,331287
953,135545
954,226647
955,162938
956,331158
957,322319
958,308885
959,314377
960,325030
961,327997
962,163661
963,329539
964,299332
965,312935
966,288140
967,309944
968,306543
969,304233
970,162657
971,160101
972,173651
973,174360
974,316520
975,329645
976,315994
977,316219
978,158592
979,328660
980,167192
981,288138
982,284573
983,314598
984,299803
985,321965
986,330148
987,308908
988,326735
989,323552
990,174731
991,312360
992,162336
993,161594
994,162586
995,164614
996,161292
997,319572
998,163037
999,322442
1000,164242
1001,209514
1002,299478
1003,162791
1004,310061
1005,308394
1006,160522
1007,326807
1008,294412
1009,297212
1010,329398
1011,283272
1012,291239
1013,163489
1014,284180
1015,318891
1016,297483
1017,291756
1018,301113
1019,322778
1020,327084
1021,167493
1022,283349
1023,326806
1024,164034
1025,162000
1026,288739
1027,326119
1028,332554
1029,316496
1030,304960
1031,314036
1032,325968
1033,291870
1034,312920
1035,314021
1036,282721
1037,314029
1038,313437
1039,159866
1040,166508
1041,283173
1042,283519
1043,319487
1044,162108
1045,281327
1046,286114
1047,282442
1048,162710
1049,320932
1050,161903
1051,326570
1052,175454
1053,163182
1054,328121
1055,161179
1056,315034
1057,282849
1058,327959
1059,283136
1060,158333
1061,299958
1062,162064
1063,322223
1064,305520
1065,121742
1066,162361
1067,163478
1068,283646
1069,323691
1070,161863
1071,164135
1072,310400
1073,163236
1074,161887
1075,324159
1076,163664
1077,306608
1078,311862
1079,331061
1080,281148
1081,311972
1082,170205
1083,309115
1084,327811
1085,292571
1086,323204
1087,162711
1088,125929
1089,307808
1090,322019
1091,330530
1092,299417
1093,160848
1094,162869
1095,326750
1096,327693
1097,163297
1098,169079
1099,299671
1100,326413
1101,307333
1102,301061
1103,163002
1104,171759
1105,307701
1106,329183
1107,283164
1108,174037
1109,301210
1110,327650
1111,325369
1112,161055
1113,317145
1114,324547
1115,168055
1116,330061
1117,162759
1118,324468
1119,312590
1120,148181
1121,175237
1122,284424
1123,324009
1124,316211
1125,284853
1126,305564
1127,306044
1128,313937
1129,319266
1130,322958
1131,277102
1132,326677
1133,328285
1134,159723
1135,314487
1136,314621
1137,323275
1138,285321
1139,290187
1140,330514
1141,163630
1142,300989
1143,328200
1144,318814
1145,305846
1146,305151
1147,161384
1148,299748
1149,288251
1150,162853
1151,308064
1152,162832
1153,174588
1154,316039
1155,163227
1156,296787
1157,325662
1158,328628
1159,289031
1160,166004
1161,311535
1162,292773
1163,167770
1164,332288
1165,321913
1166,322285
1167,281136
1168,310495
1169,168265
1170,326916
1171,319020
1172,295160
1173,277151
1174,318254
1175,316885
1176,162838
1177,286481
1178,319283
1179,320788
1180,285530
1181,174489
1182,160237
1183,329793
1184,329526
1185,162720
1186,161345
1187,317015
1188,281361
1189,162842
1190,291219
1191,165005
1192,298721
1193,327271
1194,162835
1195,161976
1196,316663
1197,286312
1198,305916
1199,299149
1200,167093
1201,161807
