,0
0,157216
1,314119
2,284959
3,300956
4,309765
5,310214
6,330039
7,313308
8,305204
9,165345
10,269928
11,302068
12,310136
13,322987
14,162461
15,161930
16,284296
17,319399
18,328555
19,289165
20,319424
21,324020
22,161092
23,316487
24,322087
25,298029
26,297626
27,299534
28,160515
29,321232
30,287923
31,160900
32,283689
33,289087
34,308938
35,162652
36,315256
37,314513
38,324735
39,171174
40,159746
41,324979
42,163545
43,323538
44,314905
45,329357
46,324330
47,163005
48,162463
49,152244
50,161796
51,162041
52,168427
53,289786
54,299903
55,165365
56,174311
57,326828
58,329751
59,161920
60,330779
61,188519
62,309959
63,328031
64,309465
65,283298
66,326882
67,318277
68,293169
69,315503
70,162165
71,311206
72,291942
73,315330
74,300608
75,328822
76,290704
77,160677
78,308380
79,328978
80,170221
81,163520
82,300974
83,326759
84,157501
85,312483
86,317447
87,164965
88,282922
89,307665
90,320731
91,163201
92,317820
93,308165
94,330049
95,304571
96,328476
97,166274
98,170169
99,289964
100,328576
101,160112
102,329351
103,166302
104,285355
105,289991
106,125053
107,171083
108,159568
109,175414
110,293867
111,312765
112,315894
113,317681
114,289442
115,173927
116,174123
117,162015
118,162830
119,160993
120,323052
121,308878
122,161513
123,305097
124,157289
125,287752
126,317100
127,160633
128,319574
129,327755
130,171870
131,283436
132,323231
133,321920
134,161676
135,298267
136,332307
137,288681
138,316609
139,325472
140,313723
141,157246
142,164104
143,226602
144,319009
145,161620
146,324994
147,310303
148,174076
149,166680
150,162113
151,243789
152,162788
153,326115
154,299870
155,306949
156,271036
157,290337
158,291388
159,307630
160,322751
161,318832
162,313542
163,318337
164,326456
165,297837
166,164063
167,312616
168,163260
169,315071
170,162345
171,298933
172,177528
173,317184
174,327954
175,282368
176,328919
177,313952
178,310726
179,163667
180,317404
181,327298
182,315099
183,326349
184,286664
185,328368
186,161827
187,314354
188,324017
189,282513
190,319450
191,322847
192,306900
193,309510
194,162154
195,323298
196,117815
197,329868
198,283132
199,325776
200,165827
201,284381
202,297656
203,326314
204,173088
205,308933
206,323771
207,313693
208,157922
209,163090
210,163416
211,329933
212,293249
213,162989
214,289569
215,294882
216,161847
217,301966
218,163881
219,299567
220,308475
221,299843
222,309384
223,327556
224,329232
225,329815
226,161447
227,172833
228,323953
229,310861
230,313330
231,308978
232,317080
233,312046
234,166493
235,324710
236,162513
237,300911
238,163181
239,317910
240,327638
241,284664
242,306018
243,161685
244,281571
245,327071
246,163586
247,162116
248,296897
249,330705
250,286267
251,162760
252,327719
253,297739
254,308415
255,318767
256,328384
257,331743
258,163334
259,162533
260,284798
261,163364
262,171814
263,316164
264,309488
265,167937
266,300404
267,319569
268,298710
269,323481
270,159838
271,325870
272,174132
273,321956
274,138648
275,329964
276,328661
277,305456
278,321150
279,294007
280,289341
281,299690
282,312847
283,160994
284,167850
285,173794
286,327955
287,330253
288,326636
289,295647
290,296502
291,314073
292,327782
293,170971
294,317436
295,319057
296,163866
297,323607
298,322243
299,175090
300,308981
301,319138
302,283875
303,312931
304,172817
305,306736
306,307143
307,282494
308,285951
309,298455
310,322180
311,285491
312,315272
313,327952
314,309520
315,163395
316,331676
317,312023
318,171148
319,288228
320,326031
321,292364
322,301716
323,312506
324,162089
325,161103
326,307383
327,324180
328,312011
329,310675
330,321928
331,299325
332,324793
333,285875
334,161890
335,325907
336,311866
337,147740
338,172471
339,297085
340,158075
341,161912
342,289173
343,166702
344,282191
345,311659
346,175227
347,160989
348,296279
349,170704
350,331797
351,288264
352,158461
353,294326
354,284800
355,288186
356,306610
357,318906
358,288752
359,318627
360,281198
361,325478
362,301473
363,163354
364,298873
365,324683
366,175221
367,284169
368,293295
369,300468
370,318923
371,163176
372,163492
373,295204
374,301196
375,163541
376,317079
377,308516
378,316886
379,282493
380,297509
381,318818
382,164246
383,167803
384,326598
385,286156
386,315283
387,300127
388,308051
389,283782
390,162052
391,139113
392,170056
393,328741
394,305335
395,304394
396,175074
397,163281
398,289041
399,319285
400,326505
401,320814
402,166518
403,161708
404,327736
405,329738
406,138096
407,138127
408,288764
409,290185
410,296997
411,161172
412,219517
413,160888
414,163056
415,306197
416,323961
417,329118
418,295530
419,331557
420,300907
421,323827
422,305778
423,329163
424,155462
425,162935
426,285450
427,320775
428,281872
429,167624
430,161911
431,315605
432,162910
433,329712
434,325380
435,325420
436,327181
437,315214
438,282081
439,322996
440,300838
441,292514
442,321185
443,313697
444,311770
445,319583
446,294719
447,311024
448,153674
449,161885
450,289448
451,319073
452,307020
453,331170
454,173654
455,305978
456,329084
457,140986
458,163087
459,321649
460,165773
461,282411
462,162376
463,315668
464,167950
465,324444
466,162119
467,308490
468,328405
469,301096
470,309929
471,322511
472,331870
473,304741
474,328374
475,310806
476,287492
477,166573
478,173793
479,319605
480,162122
481,162511
482,312396
483,311187
484,298424
485,330077
486,311837
487,305085
488,269899
489,163649
490,321781
491,161747
492,282917
493,159168
494,314984
495,137537
496,319512
497,283621
498,298430
499,161052
500,289876
501,321188
502,316413
503,291230
504,313123
505,327106
506,162114
507,282525
508,326487
509,311027
510,315295
511,281114
512,281220
513,163119
514,291128
515,301859
516,310931
517,162019
518,316630
519,328500
520,286141
521,173189
522,301280
523,322383
524,164313
525,325177
526,290647
527,309328
528,317142
529,161838
530,316569
531,167059
532,300051
533,317116
534,168504
535,320686
536,323728
537,326765
538,160885
539,300952
540,310909
541,309843
542,318272
543,160597
544,161739
545,175413
546,311786
547,163660
548,323774
549,317139
550,314494
551,174033
552,309463
553,325307
554,315808
555,163477
556,288929
557,319739
558,161248
559,326471
560,161817
561,330003
562,310599
563,161136
564,287636
565,300995
566,160264
567,162050
568,310491
569,317467
570,174084
571,287662
572,329991
573,301351
574,327957
575,298486
576,300450
577,328881
578,163377
579,308886
580,161831
581,313241
582,330392
583,283001
584,305848
585,164338
586,310575
587,301994
588,323080
589,161857
590,172028
591,296794
592,163688
593,321050
594,306957
595,331202
596,161371
597,163513
598,291857
599,330736
600,316482
601,314734
602,323733
603,325085
604,173816
605,323189
606,323900
607,161592
608,164152
609,300688
610,301033
611,170952
612,292536
613,321970
614,308297
615,313288
616,162959
617,329709
618,329421
619,329744
620,289885
621,297392
622,292273
623,292555
624,329560
625,160717
626,172667
627,321068
628,162659
629,330448
630,307841
631,170477
632,298224
633,294792
634,284492
635,282101
636,281565
637,161813
638,318372
639,300580
640,324162
641,161237
642,162124
643,170947
644,313001
645,323105
646,163142
647,301390
648,316330
649,290649
650,315206
651,326574
652,327647
653,282722
654,287804
655,326650
656,313941
657,168123
658,162253
659,162301
660,160881
661,308128
662,165691
663,173004
664,298903
665,322004
666,331197
667,311859
668,315640
669,294383
670,329892
671,286525
672,306495
673,326790
674,313278
675,325402
676,317384
677,323089
678,319245
679,322239
680,309472
681,326502
682,281120
683,327515
684,300655
685,163102
686,288536
687,160391
688,172635
689,282546
690,316850
691,326000
692,161485
693,288042
694,164128
695,328245
696,307488
697,168499
698,285984
699,287890
700,162566
701,315839
702,173662
703,287640
704,304493
705,326444
706,162937
707,160573
708,284364
709,310138
710,331670
711,300668
712,317056
713,163375
714,330557
715,320685
716,290380
717,329312
718,331815
719,282352
720,283323
721,172140
722,175510
723,283090
724,161213
725,315508
726,171671
727,314085
728,167928
729,327080
730,311832
731,283977
732,306277
733,173743
734,281523
735,313429
736,318340
737,163710
738,283265
739,323970
740,327160
741,306955
742,329316
743,163175
744,309566
745,310564
746,136937
747,168169
748,327037
749,329740
750,314489
751,320810
752,318250
753,329370
754,325205
755,330536
756,297826
757,314339
758,277074
759,159970
760,191513
761,287541
762,325699
763,281171
764,296621
765,281047
766,326205
767,160069
768,226516
769,297544
770,326533
771,325186
772,325520
773,165503
774,331645
775,168962
776,172145
777,161031
778,166751
779,144453
780,322702
781,311115
782,283883
783,321729
784,285774
785,331373
786,138552
787,169160
788,287858
789,327941
790,316494
791,159488
792,313751
793,322338
794,326746
795,166060
796,162978
797,307463
798,323886
799,312609
800,306138
801,288073
802,293352
803,314518
804,308389
805,310083
806,321815
807,330591
808,172713
809,300157
810,171092
811,315757
812,162914
813,298750
814,321192
815,162263
816,316853
817,330277
818,286277
819,316373
820,316797
821,311728
822,298250
823,308361
824,330407
825,319023
826,308387
827,175363
828,315981
829,160118
830,307981
831,315878
832,162141
833,285906
834,290566
835,285618
836,322333
837,164231
838,282210
839,282157
840,313990
841,163335
842,317220
843,331761
844,291547
845,331555
846,327911
847,288423
848,326987
849,319734
850,329065
851,217512
852,288136
853,169534
854,186512
855,285726
856,286361
857,288628
858,309103
859,175069
860,172104
861,304948
862,327695
863,165430
864,313971
865,328403
866,297551
867,314347
868,328210
869,172645
870,322446
871,312735
872,306950
873,307367
874,317752
875,329355
876,173422
877,329251
878,327143
879,289026
880,321202
881,322098
882,325912
883,331965
884,172512
885,282000
886,314186
887,307843
888,159877
889,331506
890,287867
891,306103
892,322805
893,162285
894,307080
895,329977
896,325605
897,282790
898,326783
899,314169
900,305863
901,310109
902,311820
903,162406
904,306916
905,321155
906,325814
907,302017
908,329610
909,305415
910,291118
911,318809
912,163299
913,130152
914,317255
915,323933
916,162290
917,323329
918,312613
919,160496
920,282382
921,313054
922,281765
923,283529
924,323680
925,286047
926,283371
927,160328
928,291512
929,159774
930,309667
931,315764
932,331485
933,174282
934,305897
935,161737
936,161805
937,295197
938,149744
939,160550
940,162127
941,284542
942,289446
943,297342
944,329531
945,129769
946,323522
947,304190
948,326613
949,170595
950,314285
951,298264
952,190513
953,286015
954,331303
955,163191
956,162093
957,173702
958,166897
959,163018
960,298534
961,165475
962,162925
963,307073
964,315848
965,307535
966,172397
967,146896
968,163068
969,328218
970,330281
971,324408
972,331097
973,304552
974,331766
975,163233
976,174219
977,321060
978,316685
979,328223
980,331849
981,315124
982,324856
983,161287
984,297191
985,310686
986,304564
987,331679
988,300001
989,162943
990,309705
991,319181
992,165312
993,171606
994,160070
995,287764
996,288032
997,309268
998,305065
999,167870
1000,318831
1001,162286
1002,162312
1003,285540
1004,321758
1005,308019
1006,331287
1007,135545
1008,322296
1009,226647
1010,162938
1011,331158
1012,322319
1013,308885
1014,314377
1015,325030
1016,327997
1017,163661
1018,329539
1019,288140
1020,299332
1021,312935
1022,309944
1023,306543
1024,173651
1025,160101
1026,162657
1027,304233
1028,174360
1029,316520
1030,329645
1031,315994
1032,316219
1033,167192
1034,158592
1035,285882
1036,328660
1037,288138
1038,284573
1039,314598
1040,329733
1041,299803
1042,321965
1043,330148
1044,331272
1045,308908
1046,319675
1047,326735
1048,323552
1049,174731
1050,312360
1051,164614
1052,162336
1053,161292
1054,163037
1055,162586
1056,161594
1057,319572
1058,164242
1059,209514
1060,322442
1061,299478
1062,162791
1063,310061
1064,308394
1065,160522
1066,326807
1067,294412
1068,297212
1069,329398
1070,283272
1071,163489
1072,291239
1073,284180
1074,318891
1075,297483
1076,291756
1077,301113
1078,322778
1079,167493
1080,283349
1081,327084
1082,326806
1083,164034
1084,162000
1085,319497
1086,288739
1087,326119
1088,304960
1089,316496
1090,325968
1091,314036
1092,291870
1093,312920
1094,314021
1095,282721
1096,314029
1097,159866
1098,166508
1099,283173
1100,283519
1101,319487
1102,162108
1103,171483
1104,281327
1105,286114
1106,282442
1107,301035
1108,162710
1109,320932
1110,161903
1111,175454
1112,326570
1113,161179
1114,163182
1115,162723
1116,328121
1117,282849
1118,315034
1119,327959
1120,283136
1121,158333
1122,299958
1123,162064
1124,322223
1125,305520
1126,121742
1127,162361
1128,163478
1129,283646
1130,323691
1131,161863
1132,164135
1133,310400
1134,163236
1135,161887
1136,163664
1137,324159
1138,306608
1139,331061
1140,311862
1141,281148
1142,295043
1143,311972
1144,170205
1145,162711
1146,292571
1147,309115
1148,323204
1149,327811
1150,125929
1151,307808
1152,322019
1153,160848
1154,299417
1155,330530
1156,162869
1157,311745
1158,326750
1159,327693
1160,169079
1161,163297
1162,299671
1163,306318
1164,307333
1165,326413
1166,301061
1167,163002
1168,171759
1169,307701
1170,174037
1171,283164
1172,329183
1173,301210
1174,163627
1175,325369
1176,327650
1177,312486
1178,161055
1179,317145
1180,324547
1181,168055
1182,330061
1183,162759
1184,324468
1185,148181
1186,321803
1187,312590
1188,175237
1189,284424
1190,284853
1191,324009
1192,316211
1193,305564
1194,306044
1195,313937
1196,319266
1197,277102
1198,322958
1199,326677
1200,159723
1201,328285
