"","x"
"1",106238
"2",105673
"3",277111
"4",160613
"5",140619
"6",281621
"7",133157
"8",327260
"9",166901
"10",282640
"11",167608
"12",104942
"13",317244
"14",323012
"15",314942
"16",327535
"17",173309
"18",311359
"19",106332
"20",282933
"21",327697
"22",289054
"23",110988
"24",288576
"25",327332
"26",175346
"27",285023
"28",135047
"29",105957
"30",108673
"31",318872
"32",327263
"33",167893
"34",281554
"35",157511
"36",314402
"37",293852
"38",107423
"39",104554
"40",105992
"41",161467
"42",300141
"43",322947
"44",136300
"45",106490
"46",131138
"47",300043
"48",174346
"49",112175
"50",104561
"51",198515
"52",157665
"53",312490
"54",306298
"55",3767
"56",319609
"57",105303
"58",307316
"59",296775
"60",149262
"61",140913
"62",175506
"63",312878
"64",170679
"65",111452
"66",168618
"67",174327
"68",325844
"69",326110
"70",308286
"71",300279
"72",109359
"73",111334
"74",160859
"75",327473
"76",106977
"77",108868
"78",6413
"79",17079
"80",110641
"81",154362
"82",165482
"83",161956
"84",288495
"85",137177
"86",316226
"87",296868
"88",282776
"89",111360
"90",312148
"91",312909
"92",310394
"93",109677
"94",105417
"95",327614
"96",327205
"97",281347
"98",148984
"99",323404
"100",112058
"101",266787
"102",137790
"103",300844
"104",277099
"105",110689
"106",124038
"107",170002
"108",316489
"109",105997
"110",318227
"111",328195
"112",316544
"113",133777
"114",108874
"115",157288
"116",317218
"117",127383
"118",328318
"119",164877
"120",288330
"121",157714
"122",310744
"123",152695
"124",117756
"125",306779
"126",322453
"127",143635
"128",326006
"129",313370
"130",326565
"131",105918
"132",327159
"133",316801
"134",310405
"135",325609
"136",174333
"137",324801
"138",155563
"139",11025
"140",169045
"141",325119
"142",151411
"143",104720
"144",148123
"145",324004
"146",325283
"147",283714
"148",326907
"149",326056
"150",161816
"151",318770
"152",123711
"153",309902
"154",150632
"155",327916
"156",105644
"157",284480
"158",105254
"159",281604
"160",152258
"161",281050
"162",304569
"163",131507
"164",146153
"165",158292
"166",306790
"167",128202
"168",322904
"169",163262
"170",150463
"171",317257
"172",139417
"173",323643
"174",106779
"175",151501
"176",152395
"177",164485
"178",129738
"179",171616
"180",325530
"181",301924
"182",129612
"183",326789
"184",327420
"185",107233
"186",327580
"187",124674
"188",111320
"189",106466
"190",321069
"191",281036
"192",293675
"193",172116
"194",321705
"195",151223
"196",327434
"197",317701
"198",321784
"199",167750
"200",288008
"201",133978
"202",150374
"203",292664
"204",298080
"205",159459
"206",113057
"207",301667
"208",111087
"209",5845
"210",107588
"211",299060
"212",116398
"213",135530
"214",108350
"215",131167
"216",115785
"217",140170
"218",290427
"219",327603
"220",129800
"221",281411
"222",323617
"223",124407
"224",298390
"225",171984
"226",323439
"227",318811
"228",105519
"229",107105
"230",156553
"231",321742
"232",304694
"233",36155
"234",325277
"235",304855
"236",109344
"237",131458
"238",301887
"239",109307
"240",144851
"241",159953
"242",281337
"243",104510
"244",318823
"245",285183
"246",327135
"247",324797
"248",159440
"249",314071
"250",172011
"251",284418
"252",155299
"253",109239
"254",159257
"255",281984
"256",144080
"257",305492
"258",142373
"259",328057
"260",169519
"261",315409
"262",317395
"263",286555
"264",149230
"265",175054
"266",298237
"267",118205
"268",156498
"269",316510
"270",113564
"271",133174
"272",285158
"273",321969
"274",116719
"275",302094
"276",132210
"277",104853
"278",311320
"279",152356
"280",132167
"281",142622
"282",110528
"283",288387
"284",312942
"285",123764
"286",144200
"287",143108
